parte,capit,ab'aj,achij,aj,ajam,ajaw,ajawab,ajawarem,ajb'it,ajilan,ajk'ajb,ajk'ixb,ajpop,ajtz'aq,ajtzik,al,alom,amaq,anim,apa,apanoq,aponoq,aq,aq'ab,aq'anoq,are,at,ati't,awilix,b'a,b'alam,b'anol,b'aq,b'atz,b'e,b'elejeb,b'i,b'it,b'itol,ch'ipi,ch'umil,ch'uti,cha,chaaj,chajal,chawaxoq,che,chel,chib'e,chib'ek,chik,chik'am,chikib'ano,chikop,chila,chinamit,chipe,chiqab'ij,chiri,chiwila,chiwinaqir,chiya,chok,chokoj,chopon,choq,chowen,chu,chuch,chucha'xik,chuchax,chuchi,chupan,chuwach,chuwi,chuxe,chuxik,chuxoq,ik,ik'i,ilokab,in,iwe,iwech,iwib,iwuk,iwumal,ix,ixoq,ja,jakawitz,jal,je,jolom,jom,ju,jujun,jujunal,jumaj,jun,junajpu,junam,jupa,juraqan,jusu,jusuk,juta,jutaq,juyub,k'a,k'a'm,k'ajol,k'ajolab,k'ajolom,k'amol,k'aslem,k'ate,k'axk'ol,k'axtok,k'eche,k'echelaj,k'eje,k'i,k'iche,k'im,k'o,k'olik,k'ool,k'otuja,k'u,k'ul,k'ut,k'ute,k'ux,k'ya,ka,ka'ib,kab'an,kab'awil,kacha,kaj,kajawarem,kajib,kak'ix,kakib'ano,kame,kamik,kaminaq,kanajoq,kanoq,kaq,kaqan,kaqulja,karaj,kati't,katz,kawiqib,ke,ke'ucha'xik,keb'e,kech,kecha,kej,keje,kekikot,ki,kib,kib'anoj,kib'e,kib'i,kib'il,kib'ix,kich'akatajik,kichi,kichuch,kij,kijujunal,kik,kik'ajol,kik'oje'ik,kik'ux,kikab'ichal,kikamik,kina'oj,kinawal,kiq'ab,kiq'ij,kiqajaw,kitinamit,kitze,kitzij,kiwach,kiwachib'al,kiwi,kixcha,kixoqil,kochoch,koj,konojel,kuk,kuk'a'm,kumal,kumatz,kus,la,lab'al,le,lib'aj,lo,lolmet,loq,ma,maja,majukutaj,mana,mawi,mi,mixutzinik,na,nab'e,naj,najt,naki,nawal,nay,nija'ib'ab,nim,nima,nima'q,nimal,nimaq,nuwach,oj,ojer,on,ox,oxib,pa,palo,poy,pu,puch,puwaq,q'alaj,q'alel,q'amja,q'ana,q'apoj,q'aq,q'aq'al,q'equmal,q'ij,q'ukumatz,qa,qab'it,qachuch,qajaw,qajoq,qak'ux,qamam,qaqajaw,qati't,qatzij,qawach,qe,qech,qib,qitzij,rab'inaleb,rajawal,ral,raqan,rax,raxa,re,rech,recha,releb'al,retal,ri,rib,rij,rismal,rochoch,ronojel,rox,ruk,rumal,samajel,saq,saqi,saqil,saqirik,saqiroq,sipakna,siwan,sqaqi'n,ta,taj,tamub,taq,taqal,tepew,tinamit,tojil,toq'ob,toqob,tz'aq,tz'aqol,tz'ikin,tz'ikina,tzatz,tzel,tzij,tzuqul,ub'aq,ub'i,ub'ik,ub'ixik,uch'akatajik,uchi,uchuch,ujolom,uk'ajol,uk'amik,uk'oje'ik,uk'ux,ukab,ukaj,ukik'el,ukoq,ula,ulew,uloq,umam,unab'e,unim,unimal,upa,upam,uq'ij,uqajaw,usamajel,usaqirik,utikarik,utiw,utukel,utz,utzij,utzijel,utzijoxik,utzilaj,uwach,uwi,uxe,wa,wa'e,wach,wakamik,waral,we,wech,wi,winaq,wub,wuqub,xa,xaqi,xawi,xax,xb'alanke,xb'an,xb'anik,xb'e,xb'ek,xch'aw,xch'awik,xcha,xchiqab'ij,xe,xe'el,xe'ik'ow,xe'ok,xe'opon,xe'oponik,xe'ucha'xik,xe'uchax,xe'ul,xe'ulik,xe'uxik,xeb'e,xeb'ek,xech'akataj,xech'awik,xecha,xek'ajolanik,xek'oje,xekam,xekamik,xel,xepe,xepetik,xere,xib'alb'a,xil,xk'am,xk'is,xk'oje,xkaj,xkam,xkanaj,xkib'an,xkib'ano,xkib'ij,xkik'am,xkikoj,xkikuch,xkil,xkilo,xkina,xkipixab'aj,xkita'o,xkitaq,xma,xmukane,xok,xopon,xoponik,xpe,xpetik,xpiyakok,xqaj,xraj,xril,xub'an,xub'ina'j,xucha'xik,xuchax,xuk'am,xul,xuxik,xwinaqir,xya,ya
3,13,3,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,14,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,14,0,0,2,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,3,0,1,7,0,7,0,1,0,0,0,0,0,2,0,12,3,0,0,0,2,0,0,0,2,2,0,0,4,0,1,0,9,1,0,0,0,9,2,0,0,2,0,0,0,24,0,45,0,0,2,0,4,1,0,1,1,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,4,0,0,2,1,9,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,3,1,0,1,0,1,0,0,2,12,1,0,4,0,0,0,2,4,0,7,0,2,8,0,0,5,1,0,0,16,0,0,2,11,0,0,5,2,2,0,5,0,2,0,3,2,2,0,0,0,2,0,1,0,0,5,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,2,2,0,1,10,0,2,0,4,0,0,3,1,0,0,1,35,0,0,0,2,10,0,1,12,4,0,0,0,0,0,0,1,0,39,4,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,9,0,0,4,2,0,0,0,10,0,12,6,0,4,18,0,8,1,5,1,0,1,0,0,0,5,2,0,0,0,0,3,2,4,4,0,0,1,2,3,0,0,11,0,0,1,2,1,0,0,5,14,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,2
3,14,0,0,11,0,3,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,2,1,1,0,0,0,3,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,11,7,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,6,2,0,0,0,8,1,0,1,1,0,0,0,14,0,27,2,1,0,0,0,0,1,0,4,1,0,0,0,7,0,1,1,2,0,1,0,0,5,0,0,7,1,0,1,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,3,1,0,1,1,0,0,0,0,1,6,0,0,1,6,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,0,0,1,3,1,0,4,9,0,0,3,5,0,0,0,0,8,0,4,2,0,0,0,1,4,3,0,0,0,5,0,0,13,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,2,0,3,2,0,1,0,4,2,0,0,0,33,2,0,0,0,6,0,1,8,0,1,0,5,0,0,1,2,1,19,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,1,1,0,0,4,0,0,0,0,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,1,2,0,1,3,0,18,2,0,6,15,0,3,0,6,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,6,0,1,1,1,1,0,0,3,10,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0
4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,0,0,2,1,0,0,1,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,5,0,0,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,1,0,1,1,0,0,5,3,0,0,0,0,1,5,0,0,0,0,2,1,0,0,0,2,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,2,0,0,5,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
4,2,1,1,0,0,0,1,0,3,0,0,0,0,3,0,0,4,2,1,0,0,0,0,4,0,4,2,0,0,0,12,0,0,0,0,0,2,3,3,1,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,5,1,0,0,6,0,0,0,4,0,15,0,0,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,4,1,5,2,0,3,5,1,1,0,1,2,0,2,1,0,0,0,0,2,0,0,0,0,9,1,0,3,6,0,2,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,18,0,0,0,0,7,1,3,7,0,0,0,0,0,1,0,0,2,13,0,0,0,0,2,0,0,0,0,3,3,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,1,6,0,0,0,1,2,0,4,1,1,1,0,0,4,0,8,7,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4,3,2,0,4,0,2,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,3,0,4,4,0,0,0,9,0,0,0,3,2,4,1,2,2,1,1,0,0,1,2,2,0,0,0,5,0,1,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,2,7,2,0,2,1,0,0,4,0,6,0,0,1,0,0,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,1,4,0,0,1,0,0,1,0,0,1,0,3,2,1,0,0,0,5,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,13,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,3,0,8,0,13,0,1,0,1,1,0,6,0,0,5,1,0,0,2,0,0,0,14,3,2,0,0,2,2,0,0,0,1,2,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,1,4,0,0,0,2,0,0,4,0,3,1,0,0,0,1,1,0,3,1,0,2,0,0,0,0,0,1,0,10,15,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
4,4,3,0,3,0,0,2,0,0,2,3,3,0,0,0,0,0,27,0,0,0,0,0,22,0,28,9,0,9,7,64,0,0,0,1,0,12,0,2,0,5,2,3,0,0,0,1,1,0,0,22,0,0,1,15,0,1,1,20,0,0,0,0,0,0,0,0,2,0,0,2,0,1,6,10,0,2,2,1,18,8,6,4,1,0,1,1,1,0,10,13,0,0,0,0,2,3,0,1,14,0,3,1,0,2,0,0,0,11,1,1,0,0,0,1,0,10,1,0,4,7,5,3,3,0,12,0,0,0,39,1,66,0,1,0,1,0,0,14,2,0,1,0,1,0,0,1,0,1,2,0,1,0,1,0,0,0,2,0,0,4,1,0,0,0,2,11,0,0,2,4,1,0,1,0,0,0,1,0,2,11,0,0,0,1,1,1,1,0,23,0,5,0,1,2,0,0,0,5,2,0,7,1,1,7,0,0,1,0,0,0,16,12,19,5,18,1,0,10,6,0,0,3,1,0,0,6,14,1,0,0,0,2,1,1,0,3,26,3,0,12,19,2,2,0,0,0,0,7,1,2,14,0,0,0,0,0,0,0,1,1,0,1,3,2,0,2,6,3,0,0,0,0,1,11,2,0,5,2,79,6,0,0,0,9,1,12,16,1,0,1,0,1,1,0,8,2,66,7,9,5,0,0,1,35,1,0,1,2,0,3,9,0,1,0,0,33,1,0,0,0,0,0,0,1,0,1,1,0,1,3,5,1,14,1,1,0,0,0,3,0,1,1,9,0,0,0,11,2,0,0,1,2,0,3,7,0,1,12,4,4,1,74,9,0,4,39,1,11,0,0,0,0,1,0,2,0,9,1,5,0,6,0,4,0,4,0,3,2,0,1,0,0,1,20,0,4,0,0,2,4,4,4,4,0,0,0,5,0,0,3,0,2,2,3,0,1,1,0,0,1,1,0,2,0,3,1,1,5,0,0,0,0,0,0,0,0,1,1,3,5,1,0,1
4,5,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,1,2,0,5,1,10,0,0,2,0,17,0,0,0,1,0,1,0,0,0,3,2,2,0,0,0,1,0,0,0,6,0,0,5,10,0,0,0,9,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4,0,0,0,3,4,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,7,0,0,2,1,3,0,0,0,6,0,0,0,10,0,10,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,0,0,5,2,5,1,3,0,0,0,3,0,0,0,0,2,0,4,3,0,0,0,0,1,0,1,0,1,7,0,0,1,10,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,2,1,0,4,0,18,3,2,0,0,5,0,8,4,0,1,2,0,0,0,0,1,0,25,0,3,1,0,2,0,4,0,0,0,0,3,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,5,0,0,0,25,9,0,0,14,0,6,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1
4,6,4,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,12,0,1,0,0,0,1,0,11,0,0,8,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,1,0,0,0,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,10,1,0,4,0,0,1,0,0,0,2,2,0,0,0,0,1,6,0,1,1,0,0,2,1,0,1,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0,0,2,0,0,0,1,4,3,0,1,6,0,0,0,11,0,23,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,1,6,0,0,0,2,1,1,0,1,0,0,0,0,1,1,3,0,1,2,0,1,1,1,0,0,0,0,1,1,2,0,0,0,2,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,2,4,0,0,1,0,0,0,1,0,2,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,10,6,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,10,0,0,0,4,3,0,0,1,48,2,0,1,0,4,0,4,2,0,0,0,0,0,0,0,0,1,31,1,0,3,0,0,0,12,0,1,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,2,0,2,0,1,0,0,10,3,0,0,22,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
4,7,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,0,0,0,0,0,2,0,6,0,0,5,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,3,1,0,0,1,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,2,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,18,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4,8,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,5,0,2,0,0,0,0,0,12,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,3,0,1,1,0,1,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,1,22,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,4,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,15,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,28,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,9,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
4,9,1,0,0,0,5,9,0,0,0,1,1,0,0,0,0,0,9,0,2,0,1,0,6,0,7,0,0,2,4,17,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,2,2,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,0,4,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,7,0,1,0,0,3,1,0,0,3,0,0,0,25,13,20,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,3,0,0,3,0,0,2,0,0,2,0,0,1,1,0,1,0,2,1,0,0,0,0,6,1,7,1,0,2,0,0,0,3,3,0,3,0,0,2,0,0,0,0,0,0,7,1,7,1,2,0,0,1,1,0,0,4,1,1,0,1,0,0,0,0,0,2,0,1,1,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,4,0,0,0,0,0,0,0,2,0,0,7,49,1,3,0,0,4,2,0,7,0,0,0,0,0,0,0,0,2,38,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,2,0,0,1,1,0,9,2,0,0,8,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,3,6,0,0,1,1,3,1,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
4,10,0,0,0,2,0,1,0,0,2,2,2,0,0,0,0,0,17,0,1,0,0,0,9,0,16,0,0,0,2,22,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,12,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,3,0,4,7,1,2,0,0,4,0,1,0,0,1,0,0,2,0,1,3,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,10,0,1,1,0,4,2,0,0,11,1,0,0,17,0,19,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,1,4,0,0,0,1,0,1,2,0,0,0,0,1,0,6,0,0,1,0,1,0,0,4,9,1,3,1,1,0,3,0,0,9,0,1,5,0,0,1,0,0,0,1,0,0,4,3,8,2,11,0,0,1,3,0,0,1,0,2,0,0,1,0,0,1,0,0,0,3,0,0,5,0,4,7,8,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,4,0,0,1,38,0,5,0,0,10,0,7,5,0,1,0,0,0,0,0,0,2,22,2,0,2,0,0,6,4,0,1,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,2,1,0,1,0,2,0,20,7,0,0,17,0,7,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,5,1,0,1,0,2,1,1,7,0,0,0,0,1,0,1,0,3,1,0,1,1,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,11,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,4,0,9,0,0,0,0,13,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,2,0,0,1,0,3,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,8,0,11,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,1,0,7,1,2,0,3,0,0,0,1,4,0,6,2,0,0,0,0,2,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,1,2,3,2,4,1,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,1,3,11,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,1,1,11,2,0,0,5,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
